མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,,347,9,《པེ་》《སྣར་》,བསྒྲེང་།,,
,,348,10,《པེ་》《སྣར་》,mམ།,,
,,349,11,《པེ་》,སོ།,,
,775,350,1,《པེ་》《སྣར་》,བའི།,,
,,351,2,《པེ་》,ཆག,,
,,352,3,《པེ་》《སྣར་》,འདི།,,
,,353,4,《པེ་》《སྣར་》,mཔ།,,
,,354,5,《པེ་》《སྣར་》,པར།,,
,776,355,1,《པེ་》《སྣར་》《ཅོ་》,ཀྱིས།,,
,,356,2,《པེ་》《སྣར་》,བའི།,,
,,357,3,《པེ་》《སྣར་》,གི།,,
,,358,4,《པེ་》《སྣར་》,གི།,,
,,359,5,《པེ་》《སྣར་》,གི།,,
,,360,6,《པེ་》《སྣར་》,ཞེས།,,
,,361,7,《པེ་》《སྣར་》,སྨྲ་བ།,,
,,362,8,《པེ་》《སྣར་》,དམ།,,
,777,363,1,《པེ་》《སྣར་》,སྨྲ།,,
,,364,2,《པེ་》《སྣར་》,གྱི།,,
,,365,3,《སྣར་》,རྫུན།,,
,,366,4,《པེ་》《སྣར་》,གི།,,
,,367,5,《པེ་》《སྣར་》,སྨྲ།,,
,,368,6,《པེ་》《སྣར་》,གི།,,
,,369,7,《པེ་》《སྣར་》,སྨྲ།,,
,,370,8,《པེ་》《སྣར་》,ཀྱི།,,
,,371,9,《པེ་》《སྣར་》,བཞག,,
,,372,10,《སྣར་》,བཏུལ།,,
,778,373,1,《པེ་》《སྣར་》,mཔ།,,
,,374,2,《སྣར་》,ཞིང་།,,
,,375,3,《པེ་》《སྣར་》,གི།,,
,,376,4,《པེ་》《སྣར་》,བུའི།,,
,,377,5,《པེ་》《སྣར་》,བཞག,,
,,378,6,《པེ་》《སྣར་》,རྫུན།,,
,,379,7,《ཅོ་》,mབ།,,
,,380,8,《པེ་》《སྣར་》,རྫུན།,,
,779,381,1,《པེ་》《སྣར་》,གྱུར་པས།,,
,,382,2,《པེ་》《སྣར་》,འདུམ།,,
,,383,3,《པེ་》《སྣར་》,འང་།,,
,,384,4,《པེ་》《སྣར་》,བརྡེག,,
,,385,5,《པེ་》《སྣར་》,བརྡེག,,
,,386,6,《པེ་》《སྣར་》,pལ།,,
,,387,7,《པེ་》《སྣར་》,པར།,,
,,388,8,《པེ་》《སྣར་》,སྦྱོང་།,,
,,389,9,《པེ་》《སྣར་》,གྱུར་པར།,,
,,390,10,《སྣར་》,བསྡམས།,,
,,391,11,《པེ་》《སྣར་》,གི།,,
,,392,12,《པེ་》《སྣར་》,རྫུན།,,
,,393,13,《པེ་》《སྣར་》,སྤོང་།,,
,,394,14,《པེ་》《སྣར་》,mཡི།,,
,780,395,1,《ཅོ་》,གཏགས།,,
,,396,2,《སྣར་》,རྩ།,,
,,397,3,《པེ་》《སྣར་》,mབ།,,
,,398,4,《ཅོ་》,བསློབ།,,
,,399,5,《པེ་》《སྣར་》,བརྡེག,,
,,400,6,《ཅོ་》,པར།,,
,,401,7,《པེ་》,རྩ།,,
,781,402,1,《པེ་》,བསྟོན།,,
,,403,2,《པེ་》《སྣར་》,བཞག,,
,,404,3,《པེ་》《སྣར་》,གྲོ།,,
,,405,4,《པེ་》,ཡི་གེ།,《ཅོ་》,ཡ་གི།,
,,406,5,《པེ་》,ཐུགས།,,
,782,407,1,《པེ་》《སྣར་》,སྟེ།,,
,,408,2,《པེ་》《སྣར་》,སྤངས་པ།,,
,,409,3,《པེ་》《སྣར་》,འགན།,,
,,410,4,《ཅོ་》,བྱེད།,,
,,411,5,《པེ་》《སྣར་》,བསིལ།,,
,,412,6,《པེ་》《སྣར་》,ཀྱིས།,,
,,413,7,《པེ་》《སྣར་》,mགནས།,,
,,414,8,《པེ་》《སྣར་》《ཅོ་》,བྱེད།,,
,,415,9,《པེ་》《སྣར་》,mདང་།,,
,,416,10,《པེ་》,ལནྟ།,,
,,417,11,《པེ་》,དུ།,,
,,418,12,《པེ་》《སྣར་》,སྟེ།,,
,783,419,1,《པེ་》,བྱུགས།,,
,,420,2,《པེ་》《སྣར་》,ཤོ་ལོ་ག,,
,,421,3,《པེ་》《སྣར་》,གིས།,,
,,422,4,《པེ་》《སྣར་》,ཡུངས།,,
,,423,5,《པེ་》《སྣར་》,དང་།,,
,,424,6,《པེ་》《སྣར་》,pསྣ་ཚོགས།,,
,,425,7,《པེ་》《སྣར་》,སྦྱོང་།,,
,,426,8,《ཅོ་》,པར།,,
,784,427,1,《པེ་》《སྣར་》,པོའི།,,
,,428,2,《སྣར་》,pདང་།,,
,,429,3,《པེ་》《སྣར་》,གྲུད།,,
,,430,4,《པེ་》《སྣར་》,གུམ།,,
,,431,5,《པེ་》《སྣར་》,གྲུ།,,
,,432,6,《པེ་》《སྣར་》,བྱས།,,
,,433,7,《པེ་》《སྣར་》,གྲུ།,,
,,434,8,《པེ་》《སྣར་》,ར།,,
