མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ,མཆན།,
,,371,6,《པེ་》《སྣར་》,པོ།,
,,372,7,《པེ་》,ཤེས།,
,513,373,1,《པེ་》《སྣར་》,པོའི།,
,,374,2,《སྣར་》,པོ།,
,,375,3,《པེ་》《སྣར་》,རྟོག,
,,376,4,《པེ་》《སྣར་》,གྱི།,
,,377,5,《པེ་》《སྣར་》,བརྟགས།,
,,378,6,《པེ་》,mཅད།,
,,379,7,《པེ་》《སྣར་》,pཡང་།,
,,380,8,《པེ་》,ཞུགས།,
,514,381,1,《པེ་》《སྣར་》,mམངའ།,
,,382,2,《པེ་》《སྣར་》,mཔ།,
,,383,3,《པེ་》《སྣར་》,mཔའི།,
,,384,4,《པེ་》《སྣར་》,ཀྱི།,
,,385,5,《པེ་》《སྣར་》,གི།,
,,386,6,《པེ་》《སྣར་》,སྲུང་།,
,,387,7,《པེ་》,བརྟགས།,
,,388,8,《པེ་》《སྣར་》,ཆེན་པོ།,
,,389,9,《པེ་》《སྣར་》,སྟོབས།,
,515,390,1,《པེ་》《སྣར་》,ཀྱི།,
,516,391,1,《པེ་》《སྣར་》,བའི།,
,,392,2,《པེ་》《སྣར་》,mབོ།,
,,393,3,《པེ་》《སྣར་》,ཀྱི།,
,,394,4,《པེ་》《སྣར་》,སོར།,
,,395,5,《པེ་》,བཟངས་འདི།,《སྣར་》,བཟང་འདི།
,,396,6,《སྣར་》,བཞིའི།,
,,397,7,《པེ་》《སྣར་》,སྐྱེས་ཏེ། འདབ་བཟང་།,
,517,398,1,《པེ་》,འདབས་བཟང་།,《སྣར་》,འདབ་བཟང་།
,,399,2,《པེ་》《སྣར་》,སོད།,
,,400,3,《པེ་》《སྣར་》,བོ་བསྡུ་བའི།,
,,401,4,《པེ་》《སྣར་》,འཐོབ།,
,,402,5,《སྣར་》,དབང་།,
,,403,6,《པེ་》《སྣར་》,pའཁོར་ཕུན་སུམ་ཚོགས་པ་སྟེ།,
,,404,7,《པེ་》《སྣར་》,རྟོག,
,518,405,1,《པེ་》《སྣར་》,བ།,
,,406,2,《པེ་》《སྣར་》,ཀྱི།,
,,407,3,《པེ་》《སྣར་》,དོ།,
,,408,4,《པེ་》《སྣར་》,mཔའི།,
,,409,5,《སྣར་》,པོ།,
,,410,6,《སྣར་》,mཔ།,
,519,411,1,《པེ་》《སྣར་》,ཡང་།,
,,412,2,《པེ་》,པ།,
,,413,3,《པེ་》《སྣར་》,ཀྱི་བསྲུང་།,
,,414,4,《པེ་》《སྣར་》,སྐྱེད།,
,,415,5,《པེ་》《སྣར་》,རི།,
,,416,6,《པེ་》《སྣར་》,འདི།,
,,417,7,《པེ་》《སྣར་》,mགཞན།,
,,418,8,《པེ་》《སྣར་》,ལུས།,
,,419,9,《པེ་》《སྣར་》,སྐྱེད།,
,,420,10,《པེ་》《སྣར་》《ཅོ་》,གནས།,
,,421,11,《པེ་》,པར།,
