མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སྒྲ་མདོ། རེ།,1037,2,1,《པེ་》《སྣར་》,རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ་སདྷི་བྷ་དྲས་མཛད་པ།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,160,12,《པེ་》《སྣར་》,ནཱམྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,161,13,《པེ་》《སྣར་》,ཨིཏྲ་ཨུཏྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,162,14,《པེ་》《སྣར་》,ཨཽཏྲའོ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,163,15,《པེ་》《སྣར་》,ཨཀྲའི་ཡཎྲ་ཨཙྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,164,16,《སྣར་》,ཨིཏྲ་ཨུཏྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,165,17,《པེ་》《སྣར་》,ཨེངྲའོ།།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,166,18,《པེ་》《སྣར་》,ཨེངྲ་།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,167,19,《པེ་》《སྣར་》,ཨཏྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,168,20,《པེ་》《སྣར་》,བཅད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,169,21,《པེ་》《སྣར་》,ཏཱིནྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,170,22,《སྣར་》,ཧ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,171,23,《སྣར་》,།། །།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,172,24,《པེ་》《སྣར་》,པའི།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,173,25,《པེ་》《སྣར་》,བཅད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
